country,highest_education,title,pay_usd
United Kingdom,Bachelor’s degree,Not employed,
United States,Doctoral degree,Data Scientist,"125-150,000"
United States,Master’s degree,Data Analyst,"70-80,000"
Singapore,Master’s degree,Data Analyst,"30-40,000"
United States,Some college/university study without earning a bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Research Scientist,"100-125,000"
Spain,Master’s degree,Data Scientist,"40-50,000"
United States,Master’s degree,Software Engineer,"100-125,000"
United States,Master’s degree,Data Engineer,"100-125,000"
India,Bachelor’s degree,Software Engineer,"30-40,000"
United States,Doctoral degree,Data Scientist,"125-150,000"
France,Master’s degree,Data Scientist,"70-80,000"
Indonesia,Master’s degree,Research Assistant,"0-10,000"
France,Doctoral degree,Data Scientist,"40-50,000"
India,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Research Assistant,"50-60,000"
Brazil,Master’s degree,Research Scientist,"100-125,000"
Switzerland,Master’s degree,Not employed,
Sweden,Doctoral degree,Data Scientist,"70-80,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Data Analyst,"30-40,000"
India,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
Spain,Master’s degree,Research Assistant,"20-30,000"
Ukraine,Master’s degree,Software Engineer,"50-60,000"
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Developer Advocate,"150-200,000"
United States,Some college/university study without earning a bachelor’s degree,Data Analyst,"60-70,000"
United States,Master’s degree,Software Engineer,"80-90,000"
United States,Master’s degree,Data Scientist,"125-150,000"
India,Master’s degree,Consultant,"20-30,000"
United States,Bachelor’s degree,Data Analyst,"10-20,000"
Hungary,Bachelor’s degree,Marketing Analyst,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Not employed,
United States,Some college/university study without earning a bachelor’s degree,Other,"100-125,000"
United States,Doctoral degree,Data Scientist,"125-150,000"
South Africa,Master’s degree,Data Scientist,"60-70,000"
United Kingdom,Doctoral degree,Data Analyst,"40-50,000"
Netherlands,Master’s degree,Student,"0-10,000"
Italy,Master’s degree,Software Engineer,"30-40,000"
Argentina,Master’s degree,Business Analyst,"0-10,000"
Brazil,Master’s degree,Data Scientist,"10-20,000"
Spain,Master’s degree,Data Engineer,
United States,Master’s degree,Data Scientist,"40-50,000"
China,Doctoral degree,Student,"0-10,000"
India,Master’s degree,Not employed,
United States,Master’s degree,Product/Project Manager,"150-200,000"
India,Professional degree,Marketing Analyst,"0-10,000"
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
Canada,Master’s degree,Software Engineer,"50-60,000"
China,Doctoral degree,Data Scientist,"50-60,000"
Russian Federation,Master’s degree,Product/Project Manager,"40-50,000"
United States,Doctoral degree,Student,"10-20,000"
Mexico,Bachelor’s degree,Consultant,"20-30,000"
United States,Master’s degree,Data Scientist,"100-125,000"
France,Master’s degree,Data Scientist,"40-50,000"
"Korea, Rep.",Bachelor’s degree,Software Engineer,"30-40,000"
India,Master’s degree,Principal Investigator,"30-40,000"
Denmark,Bachelor’s degree,Student,"0-10,000"
Germany,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"100-125,000"
United States,Master’s degree,Student,"90-100,000"
Singapore,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Malaysia,I prefer not to answer,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
"Hong Kong SAR, China",Doctoral degree,Data Scientist,"40-50,000"
Austria,Master’s degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
"Egypt, Arab Rep.",Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Data Scientist,"30-40,000"
Japan,Doctoral degree,Manager,"90-100,000"
Spain,Doctoral degree,Data Scientist,"150-200,000"
China,Master’s degree,Data Engineer,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Data Analyst,"10-20,000"
China,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,"0-10,000"
China,Bachelor’s degree,Data Scientist,"30-40,000"
China,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Analyst,"0-10,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,I prefer not to answer,Student,"0-10,000"
China,Master’s degree,Data Engineer,"40-50,000"
China,Master’s degree,Data Analyst,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Data Analyst,"0-10,000"
China,Doctoral degree,Data Scientist,"10-20,000"
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,"20-30,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,"0-10,000"
China,Bachelor’s degree,Product/Project Manager,"0-10,000"
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Student,"0-10,000"
China,Professional degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"0-10,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Student,"0-10,000"
China,Bachelor’s degree,Software Engineer,"50-60,000"
China,Doctoral degree,Student,"0-10,000"
China,Doctoral degree,Data Analyst,"20-30,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Scientist,"70-80,000"
China,Bachelor’s degree,Software Engineer,"60-70,000"
China,Master’s degree,Data Scientist,"40-50,000"
China,Master’s degree,Student,"10-20,000"
China,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Research Assistant,"0-10,000"
China,Master’s degree,Software Engineer,
China,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
China,I prefer not to answer,Data Analyst,"10-20,000"
China,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Student,"0-10,000"
China,Master’s degree,Student,"30-40,000"
China,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"10-20,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"20-30,000"
China,Bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Professional degree,Research Scientist,"20-30,000"
China,Bachelor’s degree,Data Analyst,"0-10,000"
China,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Software Engineer,"20-30,000"
United States,No formal education past high school,Not employed,
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"30-40,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Business Analyst,"0-10,000"
China,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Some college/university study without earning a bachelor’s degree,Developer Advocate,"20-30,000"
China,Bachelor’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
China,Some college/university study without earning a bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Data Engineer,"40-50,000"
China,Bachelor’s degree,Product/Project Manager,"20-30,000"
China,Master’s degree,Software Engineer,"20-30,000"
China,Master’s degree,Data Analyst,"10-20,000"
China,Some college/university study without earning a bachelor’s degree,Other,"0-10,000"
China,Bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Business Analyst,"50-60,000"
China,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Analyst,"10-20,000"
China,Master’s degree,Other,"100-125,000"
India,Bachelor’s degree,Student,
China,Bachelor’s degree,Student,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,
China,Bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Software Engineer,"10-20,000"
China,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,No formal education past high school,Software Engineer,"30-40,000"
China,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Doctoral degree,Other,
India,I prefer not to answer,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,I prefer not to answer,Software Engineer,"0-10,000"
India,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Engineer,"0-10,000"
India,Bachelor’s degree,Software Engineer,"20-30,000"
India,Professional degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Not employed,
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Research Scientist,"10-20,000"
India,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,"0-10,000"
India,Professional degree,Other,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,"10-20,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"20-30,000"
China,Doctoral degree,Other,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Business Analyst,"10-20,000"
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Not employed,
India,Doctoral degree,Other,"10-20,000"
India,Master’s degree,Not employed,
India,Master’s degree,Software Engineer,"20-30,000"
India,I prefer not to answer,Data Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Data Engineer,"0-10,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Software Engineer,
India,Master’s degree,Manager,"10-20,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"30-40,000"
India,Professional degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Data Analyst,"20-30,000"
China,Master’s degree,Data Scientist,"60-70,000"
India,Bachelor’s degree,Data Scientist,"50-60,000"
India,Bachelor’s degree,Software Engineer,
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Data Engineer,"0-10,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,"20-30,000"
India,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Professional degree,Manager,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"20-30,000"
India,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Data Analyst,
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Not employed,
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Consultant,"10-20,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Business Analyst,"50-60,000"
India,Doctoral degree,Research Scientist,"50-60,000"
India,I prefer not to answer,Not employed,
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,
India,Master’s degree,Data Analyst,"10-20,000"
India,Master’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Software Engineer,"70-80,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Manager,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Manager,"30-40,000"
India,Bachelor’s degree,Other,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"10-20,000"
India,Bachelor’s degree,Consultant,"0-10,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Salesperson,"70-80,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Research Assistant,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,
India,Doctoral degree,Consultant,"20-30,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Analyst,"10-20,000"
China,Doctoral degree,Data Scientist,"10-20,000"
India,Master’s degree,Student,"0-10,000"
India,I prefer not to answer,Business Analyst,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Engineer,"10-20,000"
India,Professional degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Software Engineer,"30-40,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Data Scientist,"20-30,000"
India,Master’s degree,Data Scientist,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Manager,"50-60,000"
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,I prefer not to answer,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,No formal education past high school,Student,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Data Analyst,"70-80,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"50-60,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Not employed,
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Data Scientist,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Professional degree,Software Engineer,"0-10,000"
India,Professional degree,Product/Project Manager,
India,Some college/university study without earning a bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
China,Professional degree,Research Scientist,"500,000+"
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Data Analyst,"10-20,000"
China,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"30-40,000"
China,I prefer not to answer,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,"10-20,000"
India,Bachelor’s degree,DBA/Database Engineer,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Statistician,"10-20,000"
India,Master’s degree,Research Assistant,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Other,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Not employed,
India,Master’s degree,Data Analyst,"10-20,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Student,"20-30,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Data Analyst,"10-20,000"
India,Master’s degree,Not employed,
India,Bachelor’s degree,Business Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Chief Officer,"10-20,000"
India,Master’s degree,Not employed,
India,Bachelor’s degree,Other,"10-20,000"
India,Master’s degree,Data Scientist,"40-50,000"
India,Bachelor’s degree,Not employed,
China,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Research Scientist,"0-10,000"
India,Bachelor’s degree,Manager,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Not employed,
China,Doctoral degree,Data Scientist,"10-20,000"
India,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
China,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Consultant,"0-10,000"
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Manager,"20-30,000"
China,Master’s degree,Data Scientist,
China,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"20-30,000"
India,Bachelor’s degree,Data Scientist,
India,Master’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Doctoral degree,Other,"0-10,000"
India,Master’s degree,Software Engineer,"150-200,000"
India,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,"10-20,000"
China,I prefer not to answer,Software Engineer,"30-40,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Doctoral degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Business Analyst,"0-10,000"
India,Bachelor’s degree,Business Analyst,"0-10,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"30-40,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Business Analyst,"20-30,000"
India,Bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Data Engineer,"10-20,000"
India,Doctoral degree,Research Scientist,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
China,Doctoral degree,Data Scientist,"0-10,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Business Analyst,
China,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Chief Officer,"0-10,000"
India,Bachelor’s degree,Not employed,
India,Master’s degree,Data Scientist,"10-20,000"
China,Bachelor’s degree,Product/Project Manager,"10-20,000"
India,Master’s degree,Data Analyst,"20-30,000"
India,Master’s degree,Student,
India,Master’s degree,Product/Project Manager,"10-20,000"
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Other,"40-50,000"
India,Master’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Student,"0-10,000"
India,Doctoral degree,Student,"0-10,000"
India,Bachelor’s degree,Student,
